dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
496,31,pre,0,1784347070.87961,1784347071.084795,1784347070.9822025,1.66655309
497,31,pre,1,1784347071.0850198,1784347071.295134,1784347071.1900768,1.63303769
498,31,pre,2,1784347071.295357,1784347071.5055108,1784347071.400434,1.65850939
499,31,pre,3,1784347071.505738,1784347071.70673,1784347071.606234,1.624994
500,31,pre,4,1784347071.7070148,1784347071.9171698,1784347071.8120923,1.64510323
501,31,pre,5,1784347071.9173608,1784347072.1209369,1784347072.0191488,1.64108139
502,31,pre,6,1784347072.121142,1784347072.3240042,1784347072.222573,1.6169503
503,31,pre,7,1784347072.3242161,1784347072.534355,1784347072.4292855,1.642422
504,31,post,0,1784347091.2184079,1784347091.42021,1784347091.3193088,1.63169707
505,31,post,1,1784347091.421375,1784347091.629782,1784347091.5255785,1.63169707
506,31,post,2,1784347091.630014,1784347091.835009,1784347091.7325115,1.64912508
507,31,post,3,1784347091.8353589,1784347092.037078,1784347091.9362183,1.61560968
508,31,post,4,1784347092.0372832,1784347092.2404292,1784347092.1388562,1.64108139
509,31,post,5,1784347092.2406652,1784347092.441399,1784347092.341032,1.62365338
510,31,post,6,1784347092.441599,1784347092.651756,1784347092.5466776,1.62231276
511,31,post,7,1784347092.651985,1784347092.8578,1784347092.7548923,1.63705954
512,32,pre,0,1784347110.856045,1784347111.057438,1784347110.9567413,1.23219355
513,32,pre,1,1784347111.0587049,1784347111.26129,1784347111.1599975,1.2281717
514,32,pre,2,1784347111.261486,1784347111.470985,1784347111.3662355,1.2107437
515,32,pre,3,1784347111.47121,1784347111.673113,1784347111.5721617,1.2362154
516,32,pre,4,1784347111.673298,1784347111.8736,1784347111.773449,1.21476554
517,32,pre,5,1784347111.8738072,1784347112.0839481,1784347111.9788775,1.22683109
518,32,pre,6,1784347112.084129,1784347112.286114,1784347112.1851215,1.22146862
519,32,pre,7,1784347112.2864058,1784347112.496523,1784347112.3914642,1.21342493
520,32,post,0,1784347131.1205661,1784347131.3307211,1784347131.2256436,1.22280924
521,32,post,1,1784347131.331142,1784347131.541266,1784347131.436204,1.21744677
522,32,post,2,1784347131.5415082,1784347131.7420769,1784347131.6417925,1.22683109
523,32,post,3,1784347131.7422988,1784347131.952456,1784347131.8473773,1.19465631
524,32,post,4,1784347131.952638,1784347132.161866,1784347132.057252,1.20806246
525,32,post,5,1784347132.1621451,1784347132.3722858,1784347132.2672155,1.19867815
526,32,post,6,1784347132.372483,1784347132.577215,1784347132.474849,1.23085293
527,32,post,7,1784347132.57747,1784347132.780637,1784347132.6790535,1.21208431
528,33,pre,0,1784347142.1715682,1784347142.374657,1784347142.2731125,1.19867815
529,33,pre,1,1784347142.3748748,1784347142.57535,1784347142.4751124,1.17990953
530,33,pre,2,1784347142.575628,1784347142.77706,1784347142.676344,1.2027
531,33,pre,3,1784347142.777237,1784347142.9821398,1784347142.8796883,1.19465631
532,33,pre,4,1784347142.9823308,1784347143.1868129,1784347143.0845718,1.21208431
533,33,pre,5,1784347143.187027,1784347143.397184,1784347143.2921054,1.20672185
534,33,pre,6,1784347143.397434,1784347143.598528,1784347143.497981,1.19331569
535,33,pre,7,1784347143.5987608,1784347143.806921,1784347143.7028408,1.20672185
536,33,post,0,1784347162.4548512,1784347162.655612,1784347162.5552316,1.16382214
537,33,post,1,1784347162.656014,1784347162.8609831,1784347162.7584987,1.18795323
538,33,post,2,1784347162.861474,1784347163.07164,1784347162.966557,1.21610616
