window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
83,128,3,formal,up,72,64,0,4.992474809921282,1784283183.151787,1784283184.1744099,1784283183.6630983,0.45446,-0.32314,-0.546119,0.002981,-0.003463,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4574903,4597430,0,0,0,0,1
84,129,0,formal,down,72,64,1,4.992474809921282,1784283193.1768162,1784283194.211712,1784283193.694264,0.445357,-0.321044,-0.542911,0.002944,-0.003561,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4535693,4537980,0,0,0,0,1
85,129,1,formal,down,72,64,1,4.992474809921282,1784283194.211925,1784283195.240202,1784283194.7260635,0.444647,-0.320934,-0.542705,0.002951,-0.003542,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4573210,4539165,0,0,0,0,1
86,129,2,formal,down,72,64,1,4.992474809921282,1784283195.24042,1784283196.2759192,1784283195.7581697,0.443717,-0.320504,-0.542138,0.002986,-0.003561,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4559406,4526293,0,0,0,0,1
87,129,3,formal,down,72,64,1,4.992474809921282,1784283196.276203,1784283197.294465,1784283196.785334,0.443206,-0.320447,-0.542057,0.002969,-0.003541,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4546279,4575073,0,0,0,0,1
88,130,0,formal,down,8,65,0,-3.362947666949035,1784283293.9804711,1784283295.003121,1784283294.491796,0.024332,0.08938,0.151695,0.003526,-0.006715,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1370667,1279289,0,0,0,0,1
89,130,1,formal,down,8,65,0,-3.362947666949035,1784283295.00332,1784283296.029078,1784283295.516199,0.02391,0.088701,0.150549,0.003528,-0.006717,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1371006,1269381,0,0,0,0,1
90,130,2,formal,down,8,65,0,-3.362947666949035,1784283296.029312,1784283297.057332,1784283296.543322,0.023488,0.087961,0.149303,0.003522,-0.006716,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1361775,1254984,0,0,0,0,1
91,130,3,formal,down,8,65,0,-3.362947666949035,1784283297.057577,1784283298.09333,1784283297.5754533,0.023123,0.087285,0.148216,0.003526,-0.00671,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1357456,1240333,0,0,0,0,1
92,131,0,formal,up,8,65,1,-3.362947666949035,1784283307.155741,1784283308.188429,1784283307.672085,0.019994,0.081529,0.138633,0.003556,-0.006718,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1267772,1159203,0,0,0,0,1
93,131,1,formal,up,8,65,1,-3.362947666949035,1784283308.188637,1784283309.222353,1784283308.7054949,0.01969,0.081053,0.137787,0.003522,-0.006725,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1291823,1147177,0,0,0,0,1
